gene;004 Control R_2016_10_19;008 Control R_2016_10_20;
LOC108349479;6.20086528162765E-07;3.07168156615445E-07;
LOC102556098;1.93293805537021E-07;7.13841490726035E-08;
LOC103690072;0;0;
LOC103690913;0;0;
Vom2r2;0;0;
LOC103690914;3.57722402780514E-07;2.37081901162343E-07;
LOC102556463;1.60820446206801E-07;1.43200929351707E-07;
Vom2r4;0;0;
Vom2r6;0;0;
Vom2r5;0;0;
Raet1e;3.81433109593055E-08;6.70578370075972E-08;
LOC102547056;0;0;
LOC108348301;5.36068154022673E-08;0;
LOC100913013;0;0;
LOC679873;0;0;
Rrlt;0;1.29789361950188E-07;
Raet1c;0;1.01235702321146E-07;
Raet1d;0;0;
LOC683850;0;0;
LOC103690937;3.82412464874443E-06;7.41140519856225E-06;
LOC100910848;2.41230669310202E-07;0;
Lrp11;0.0000044019442647631;5.34083224425024E-06;
Pcmt1;6.35704667650156E-06;8.08544461829022E-06;
Nup43;2.03448173454566E-06;1.05215909420952E-06;
Lats1;0.0000229096972823958;0.000017627558508868;
Katna1;8.76265251767831E-07;9.56980228779388E-07;
Ginm1;0.0000031911518668792;3.10932048112001E-06;
Ppil4;1.89015569307802E-06;1.66909119467942E-06;
Zc3h12d;1.72160349464973E-07;2.11989291185307E-08;
Tab2;0.0000873461202962174;0.0000465061241739914;
LOC108349482;2.17004512349562E-07;3.37452341070489E-08;
Ust;2.81590415906333E-06;2.04894139398697E-06;
Sash1;0.0000531341476164607;0.0000239011436343336;
Samd5;1.30202707409737E-06;1.68423328690694E-06;
RGD1560633;3.92257562703129E-07;8.8256766126128E-08;
Stxbp5;1.90613464766908E-06;5.36246380457527E-06;
Adgb;2.36488527947694E-06;6.44620497685935E-08;
Rab32;3.47877304951828E-06;0.0000012468431371348;
Grm1;1.81953902278849E-07;3.01284372207037E-06;
Shprh;0.0000055725315510953;7.14144332570585E-06;
Fbxo30;0.0000104254946954447;9.62561171343246E-06;
Epm2a;4.59266081955963E-07;2.53089255802867E-07;
Utrn;2.86281012254031E-06;1.04826541335102E-06;
Stx11;2.99064175926879E-06;6.6192574594596E-07;
Sf3b5;0.0000544567926964821;0.0000403575694672045;
Plagl1;0.0000126311058791592;0.0000102291322465008;
Zc2hc1b;0;0;
Ltv1;3.82103194785584E-06;1.61414703145384E-06;
Phactr2;6.04674568734613E-06;3.43465914840848E-06;
Fuca2;7.50237690557693E-06;6.64997427512114E-06;
Pex3;3.60608923609867E-06;3.13008677903204E-06;
Adat2;1.66490397835887E-07;1.95549305338283E-07;
Aig1;8.47760858577971E-06;6.77240890656082E-06;
Hivep2;0.000102706534709559;0.000192860069758675;
Adgrg6;9.40748065294981E-06;0.000003793743049804;
Vta1;0.0000110079533627963;9.32493302491452E-06;
Gje1;0;0;
Nmbr;3.19579091821209E-08;3.01976582137438E-07;
LOC108349829;0;0;
LOC100909392;1.87623853907935E-06;1.61457966266034E-06;
Ect2l;4.81430438324208E-07;5.7972581671084E-08;
LOC310926;0.0000174722136701024;0.0000603710890799235;
LOC100909599;0;2.16315603250313E-07;
Mcc;7.01012201414264E-08;4.11432277382096E-07;
Cited2;0.0000195850438271591;0.0000163846090525917;
LOC102554594;0;0;
