gene;007 Control R_2017_06_27;011 Control R_2017_06_30;011 mQ80 R_2018_02_27;008 MQ6h2 23.03 R_2018_04_27;_009 MQ6_2 17.04 R_2018_04_27
Plekhg2;0.0000179022085787839;0.0000434958813542822;0.000020666643004858;0.0000294703277567303;0.0000149438248040321
Plekhg3;0.000009558;0.0000114608195314458;5.39129817518035E-06;0.0000064192793133472;7.13228002010624E-06
Plekhg1;0.0000939107382226035;0.0000814684761873858;0.0000660434026459593;0.0000770313517601664;0.0000621527258894972
Plekhg6;3.03427264047184E-07;2.07123244544201E-07;8.98549695863392E-07;1.45892711666982E-06;1.35852952763928E-06
Plekhg7;0;0;4.49274847931696E-07;0;3.39632381909821E-07
Plekhg4;6.82711344106164E-07;6.21369733632603E-07;0;0;0
Plekhg5;0.0001129508;0.0000752547788510597;0.0000885071450425441;0.0000793656351468381;0.0000991726555176677
Nsa2;0.0000437693828388063;0.0000381797180776477;0.0000422318357055794;0.0000376403196100813;0.0000414351505929981
Nampt;0.0000461968009511838;0.0000548186187226986;0.0000606521044707789;0.0000341388945300737;0.0000838891983317257
Yod1;6.97882707308524E-06;5.17808111360503E-06;6.28984787104374E-06;2.91785423333964E-06;3.05669143718839E-06
Vmo1;0.000000531;2.76164326058935E-07;0;0;0.0000016981619095491
Man2a1;0.0000200261994271142;0.0000389391699743098;0.0000193188184610629;0.0000361813924934115;0.0000213968400603187
Vwf;9.86138608153349E-07;1.86410920089781E-06;3.14492393552187E-06;3.50142508000756E-06;7.47191240201606E-06
Mier1;0.0000443003805508889;0.0000550257419672428;0.000051666607512145;0.0000531049470467814;0.0000251327962613267
Mier2;0.0000293565877965651;0.000026926;0.000031;0.0000180906962467057;0.0000258120610251464
Mier3;0.0000240466106757393;0.000030309;0.0000161738945255411;0.0000192578379400416;0.0000146041924221223
Aqp11;8.11667931326218E-06;5.59232760269343E-06;0.0000107825963503607;0.0000096289189700208;0.0000098493390753848
LOC102554605;0.0000232121856996096;0.0000248547893453041;0.0000152753448296777;7.87820643001702E-06;0.000016981619095491
Baiap3;0.000002655;2.27835568998621E-06;0.000004942;4.37678135000945E-06;6.79264763819642E-06
Dag1;0.0004284393;0.0005376919;0.0003796372;0.0006740243;0.000346425
Myadm;0.0001542169;0.0001331112;0.0001136665;0.0000986234730868797;0.000125664
Olr1455;0;0;0;0;0
